USD1,USD: 1-2,29.97,31.41,,,
USD5,USD: 5-20,30.32,31.41,,,
USD50,USD: 50-100,30.78,31.41,31.00,31.10,31.40
GBP,United Kingdom,40.90,42.05,41.27000,41.37750,42.25000
EUR,Euro Zone,36.51,37.49,36.71750,36.80500,37.54000
JPY,Japan (:100),28.81,29.65,29.03250,29.10250,29.89250
HKD,Hong Kong,3.93,4.07,3.98000,3.99500,4.07000
MYR,Malaysia,6.90,7.65,7.40500,7.44250,7.64250
SGD,Singapore,22.41,23.27,22.57500,22.63750,23.27000
BND,Brunei,21.92,23.07,-,-,-
CNY,China,4.27,4.64,4.46500,4.50250,4.65000
IDR,Indonesia (:1000),1.80,2.17,2.04320,2.06985,2.17000
MMK,Myanmar (:100),-,-,-,-,2.43500
INR,India: 50-1000,-,-,-,-,0.44750
KRW,Korea,0.0224,0.0257,-,-,-
LAK,Laos (:1000),3.16,3.50,-,-,-
PHP,Philippines,0.51,0.65,-,-,0.65750
TWD,Taiwan,0.94,1.03,-,-,-
AUD,Australia,22.10,23.45,22.41750,22.48500,23.44250
NZD,New Zealand,20.68,21.49,20.79250,20.86000,21.47000
CHF,Switzerland,33.39,34.44,33.88000,33.98750,34.71750
DKK,Denmark,4.75,5.07,4.94250,4.95750,5.05000
NOK,Norway,3.36,3.62,3.49750,3.51000,3.60000
SEK,Sweden,3.42,3.65,3.55000,3.56000,3.63000
CAD,Canada,23.29,24.36,23.55250,23.60500,24.26000
RUB,Russia,0.32,0.46,-,-,-
VND,Vietnam (:1000),1.10,1.42,-,-,-
ZAR,South Africa,1.66,1.93,-,-,-
AED,United Arab Emirate,7.45,8.56,-,-,-
BHD,Bahrain,69.49,83.18,-,-,-
OMR,Oman,69.03,81.04,-,-,-
QAR,Qatar,-,-,-,-,-
SAR,Saudi Arabia,6.91,8.37,-,-,-
USD1,USD: 1-2,29.97,31.41,,,
USD5,USD: 5-20,30.32,31.41,,,
USD50,USD: 50-100,30.78,31.41,31.00,31.10,31.40
GBP,United Kingdom,40.90,42.05,41.27000,41.37750,42.25000
EUR,Euro Zone,36.51,37.49,36.71750,36.80500,37.54000
JPY,Japan (:100),28.81,29.65,29.03250,29.10250,29.89250
HKD,Hong Kong,3.93,4.07,3.98000,3.99500,4.07000
MYR,Malaysia,6.90,7.65,7.40500,7.44250,7.64250
SGD,Singapore,22.41,23.27,22.57500,22.63750,23.27000
BND,Brunei,21.92,23.07,-,-,-
CNY,China,4.27,4.64,4.46500,4.50250,4.65000
IDR,Indonesia (:1000),1.80,2.17,2.04320,2.06985,2.17000
MMK,Myanmar (:100),-,-,-,-,2.43500
INR,India: 50-1000,-,-,-,-,0.44750
KRW,Korea,0.0224,0.0257,-,-,-
LAK,Laos (:1000),3.16,3.50,-,-,-
PHP,Philippines,0.51,0.65,-,-,0.65750
TWD,Taiwan,0.94,1.03,-,-,-
AUD,Australia,22.10,23.45,22.41750,22.48500,23.44250
NZD,New Zealand,20.68,21.49,20.79250,20.86000,21.47000
CHF,Switzerland,33.39,34.44,33.88000,33.98750,34.71750
DKK,Denmark,4.75,5.07,4.94250,4.95750,5.05000
NOK,Norway,3.36,3.62,3.49750,3.51000,3.60000
SEK,Sweden,3.42,3.65,3.55000,3.56000,3.63000
CAD,Canada,23.29,24.36,23.55250,23.60500,24.26000
RUB,Russia,0.32,0.46,-,-,-
VND,Vietnam (:1000),1.10,1.42,-,-,-
ZAR,South Africa,1.66,1.93,-,-,-
AED,United Arab Emirate,7.45,8.56,-,-,-
BHD,Bahrain,69.49,83.18,-,-,-
OMR,Oman,69.03,81.04,-,-,-
QAR,Qatar,-,-,-,-,-
SAR,Saudi Arabia,6.91,8.37,-,-,-
USD1,USD: 1-2,29.97,31.41,,,
USD5,USD: 5-20,30.32,31.41,,,
USD50,USD: 50-100,30.78,31.41,31.00,31.10,31.40
GBP,United Kingdom,40.90,42.05,41.27000,41.37750,42.25000
EUR,Euro Zone,36.51,37.49,36.71750,36.80500,37.54000
JPY,Japan (:100),28.81,29.65,29.03250,29.10250,29.89250
HKD,Hong Kong,3.93,4.07,3.98000,3.99500,4.07000
MYR,Malaysia,6.90,7.65,7.40500,7.44250,7.64250
SGD,Singapore,22.41,23.27,22.57500,22.63750,23.27000
BND,Brunei,21.92,23.07,-,-,-
CNY,China,4.27,4.64,4.46500,4.50250,4.65000
IDR,Indonesia (:1000),1.80,2.17,2.04320,2.06985,2.17000
MMK,Myanmar (:100),-,-,-,-,2.43500
INR,India: 50-1000,-,-,-,-,0.44750
KRW,Korea,0.0224,0.0257,-,-,-
LAK,Laos (:1000),3.16,3.50,-,-,-
PHP,Philippines,0.51,0.65,-,-,0.65750
TWD,Taiwan,0.94,1.03,-,-,-
AUD,Australia,22.10,23.45,22.41750,22.48500,23.44250
NZD,New Zealand,20.68,21.49,20.79250,20.86000,21.47000
CHF,Switzerland,33.39,34.44,33.88000,33.98750,34.71750
DKK,Denmark,4.75,5.07,4.94250,4.95750,5.05000
NOK,Norway,3.36,3.62,3.49750,3.51000,3.60000
SEK,Sweden,3.42,3.65,3.55000,3.56000,3.63000
CAD,Canada,23.29,24.36,23.55250,23.60500,24.26000
RUB,Russia,0.32,0.46,-,-,-
VND,Vietnam (:1000),1.10,1.42,-,-,-
ZAR,South Africa,1.66,1.93,-,-,-
AED,United Arab Emirate,7.45,8.56,-,-,-
BHD,Bahrain,69.49,83.18,-,-,-
OMR,Oman,69.03,81.04,-,-,-
QAR,Qatar,-,-,-,-,-
SAR,Saudi Arabia,6.91,8.37,-,-,-
